X1,X2,y
-1.240310522279819860e+00,-1.347409589442020827e+00,0.000000000000000000e+00
-1.973044633564780881e+00,-7.933107796357894426e-01,0.000000000000000000e+00
-7.707921418658864043e-01,-9.521538488650582721e-01,0.000000000000000000e+00
-2.231501093634551847e+00,-1.637048708572468314e+00,0.000000000000000000e+00
-9.323878089813133485e-01,-5.121226063561111763e-01,0.000000000000000000e+00
-5.454620377010634957e-01,-9.062147535832414391e-01,0.000000000000000000e+00
-4.021365578897371229e-01,-1.884157062727197740e+00,0.000000000000000000e+00
2.382481752968765853e-01,-1.972978720092044558e-01,0.000000000000000000e+00
-5.225084971026978664e-01,-2.790935599563783009e-01,0.000000000000000000e+00
8.417715908174328021e-02,-1.009788583929992489e+00,0.000000000000000000e+00
-1.779646719918897446e+00,-1.954532290269431982e+00,0.000000000000000000e+00
-4.881476248799297979e-01,-1.591752824428718238e+00,0.000000000000000000e+00
-7.208989711832387570e-01,-6.349787026503370679e-01,0.000000000000000000e+00
-4.645702334390326982e-01,-1.735557997878496295e-01,0.000000000000000000e+00
-5.316848554481763411e-01,-7.576298624766073520e-01,0.000000000000000000e+00
-1.361409823717872891e+00,7.335868851141214009e-02,0.000000000000000000e+00
-5.823652528652178972e-01,-1.401664615454773610e+00,0.000000000000000000e+00
-1.013793420052428340e+00,-1.959454844984597433e+00,0.000000000000000000e+00
-3.645883937986543755e-01,-1.882542344567973647e+00,0.000000000000000000e+00
-2.904785655951961365e-01,-1.379905079882113306e-01,0.000000000000000000e+00
-1.503253370352251039e+00,-1.370512070528861592e+00,0.000000000000000000e+00
-8.149645936113911748e-01,-1.048198513311155766e+00,0.000000000000000000e+00
1.534998687057511635e-01,-4.040890574895628085e-01,0.000000000000000000e+00
-1.136904105686451505e+00,-3.180607502761375605e-01,0.000000000000000000e+00
-5.204648055604439438e-01,-1.886109837643405118e+00,0.000000000000000000e+00
-1.042588936039125391e+00,-1.340872387833518919e+00,0.000000000000000000e+00
-8.364287519205203525e-01,-3.626263359303927292e-01,0.000000000000000000e+00
-1.970630782341475040e+00,-1.249264303943255383e+00,0.000000000000000000e+00
-3.837547795126632355e-01,-6.232696559352599586e-01,0.000000000000000000e+00
-1.573805092022552587e+00,-8.181510858588134649e-01,0.000000000000000000e+00
-6.446112854208437826e-01,-7.884221103594188929e-01,0.000000000000000000e+00
1.178054306740536905e-01,-8.087722360634335139e-01,0.000000000000000000e+00
-2.005966263522737325e+00,-9.554272546998032745e-01,0.000000000000000000e+00
-1.346064857644711843e+00,-5.687316174632962573e-01,0.000000000000000000e+00
-9.640929510729753238e-01,-1.463800564251987790e+00,0.000000000000000000e+00
-1.809483524323010739e+00,-6.181255227668633889e-01,0.000000000000000000e+00
-1.584788911602981409e+00,-3.728211472596342224e-01,0.000000000000000000e+00
2.315406335528129578e-01,8.681835758830944716e-01,0.000000000000000000e+00
-9.356926911834028138e-01,-1.167302788932984781e+00,0.000000000000000000e+00
-2.845042769254397808e-01,-1.824068538063202016e+00,0.000000000000000000e+00
-1.008349462763546756e+00,-7.317312543262870506e-01,0.000000000000000000e+00
-1.673608715544948389e+00,-2.075059100386772215e+00,0.000000000000000000e+00
-3.273590667513064378e-01,-7.160184014803423480e-01,0.000000000000000000e+00
-1.668883953470298387e+00,-1.414234438918464898e+00,0.000000000000000000e+00
